"PlayerID","TeamID","FranchiseID","LeagueID","SeasonID","First Name","Last Name","Nick Name","Height","Weight","DOB","Birthcity","Birthstate","Nationality_One","Nationality_Two","Nationality_Three"
"0","0","0","3","67"," ","Alexis Texas",,"76","225","2009-3-5","Belfast","NOR","England",,
"0","0","0","3","68"," ","Alexis Texas",,"76","225","2009-3-5","Belfast","NOR","England",,
"1","0","0","3","67"," ","Jeff Newman",,"75","230","2009-12-22","Liverpool","ENG","England",,
"1","0","0","3","69"," ","Jeff Newman",,"75","230","2009-12-22","Liverpool","ENG","England",,
"1","0","0","3","70"," ","Jeff Newman",,"75","230","2009-12-22","Liverpool","ENG","England",,
"4","0","0","3","66"," ","Sean Davies",,"76","210","2010-12-2","Liverpool","ENG","England",,
"4","0","0","3","67"," ","Sean Davies",,"76","210","2008-4-23","Liverpool","ENG","England",,
"4","0","0","3","68"," ","Sean Davies",,"76","210","2008-4-23","Liverpool","ENG","England",,
"4","0","0","3","69"," ","Sean Davies",,"76","210","2008-4-23","Liverpool","ENG","England",,
"5","0","0","3","53"," ","Berry Blue",,"73","210","2000-7-13","London","ENG","England",,
"6","0","0","3","67"," ","Ragnar Lothbrok",,"72","179","2009-7-4","Kattakürgon","SAM","Sweden",,
"6","0","0","3","68"," ","Ragnar Lothbrok",,"72","179","2009-7-4","Kattakürgon","SAM","Ireland",,
"8","0","0","3","64"," ","Seamus O'Slapahan",,"74","230","2008-6-25","Blessington","WIC","Ireland",,
"8","0","0","3","65"," ","Seamus O'Slapahan",,"74","230","2008-6-25","Blessington","WIC","Ireland",,
"8","0","0","3","66"," ","Seamus O'Slapahan",,"74","230","2008-6-25","Vendas Novas","ALE","Ireland",,
"8","0","0","3","67"," ","Seamus O'Slapahan",,"74","230","2006-9-22","Killarney","KER","Ireland",,
"9","0","0","3","55"," ","Bane",,"76","225","2000-1-13","London","ENG","England",,
"9","0","0","3","56"," ","Bane",,"77","225","2000-1-13","London","ENG","England",,
"9","0","0","3","57"," ","Bane",,"77","225","2000-1-13","London","ENG","England",,
"10","0","0","3","67"," ","Pete Aleman",,"70","185","2009-3-1","Cork","COR","Ireland",,
"10","0","0","3","68"," ","Pete Aleman",,"70","185","2009-3-1","Cork","COR","Ireland",,
"10","0","0","3","69"," ","Pete Aleman",,"70","185","2009-3-1","Cork","COR","Ireland",,
"10","0","0","3","70"," ","Pete Aleman",,"70","185","2009-3-1","Cork","COR","Ireland",,
"11","0","0","3","67"," ","Alexander Minaj",,"74","225","2009-8-20","Colton","CA","The United States",,
"11","0","0","3","68"," ","Alexander Minaj",,"74","225","2009-8-20","Cleveland","OH","Ireland",,
"11","0","0","3","69"," ","Alexander Minaj",,"74","225","2009-8-20","Cleveland","OH","Ireland",,
"11","0","0","3","70"," ","Alexander Minaj",,"74","225","2009-8-20","Cleveland","OH","Ireland",,
"15","0","0","3","67"," ","Guinness O'Bigbers",,"71","200","2009-8-5","Simpsonville","SC","The United States",,
"15","0","0","3","68"," ","Guinness O'Bigbers",,"71","200","2009-8-5","Swords","DUB","Ireland",,
"15","0","0","3","69"," ","Guinness O'Bigbers",,"71","200","2009-8-5","Swords","DUB","Ireland",,
"15","0","0","3","70"," ","Guinness O'Bigbers",,"71","200","2009-8-5","Swords","DUB","Ireland",,
"16","0","0","3","67"," ","Derek Martin",,"71","192","2009-3-23","Saint-Grégoire","QC","Canada",,
"16","0","0","3","68"," ","Derek Martin",,"71","192","2009-3-23","Saint-Grégoire","QC","Ireland",,
"16","0","0","3","69"," ","Derek Martin",,"71","192","2009-3-23","Saint-Grégoire","QC","Ireland",,
"16","0","0","3","70"," ","Derek Martin",,"71","192","2009-3-23","Saint-Grégoire","QC","Ireland",,
"17","0","0","3","67"," ","Tiberius Kane",,"71","194","2010-8-18","Ulaanbaatar","ULA","Mongolia",,
"17","0","0","3","68"," ","Tiberius Kane",,"71","194","2010-8-18","Ulaanbaatar","ULA","England",,
"17","0","0","3","69"," ","Tiberius Kane",,"71","194","2010-8-18","Ulaanbaatar","ULA","England",,
"17","0","0","3","70"," ","Tiberius Kane",,"71","194","2010-8-18","Ulaanbaatar","ULA","England",,
"17","0","0","3","71"," ","Tiberius Kane",,"71","194","2010-8-18","Ulaanbaatar","ULA","England",,
"21","0","0","3","64"," ","Ronnie Pickering",,"74","225","2008-4-27","Hullbridge","ENG","England",,
"21","0","0","3","65"," ","Ronnie Pickering",,"74","225","2008-4-27","Hullbridge","ENG","England",,
